html_url_repository,language,num_chars,date
https://github.com/alsino/berlindru,HTML,6434,2023-09-11
https://github.com/alsino/bob-ross-images,JavaScript,1242,2023-09-11
https://github.com/alsino/ckan_nigeria,Python,13448475,2023-09-11
https://github.com/alsino/ckan_nigeria,C,519202,2023-09-11
https://github.com/alsino/ckan_nigeria,HTML,208419,2023-09-11
https://github.com/alsino/ckan_nigeria,XSLT,152770,2023-09-11
https://github.com/alsino/ckan_nigeria,C++,73693,2023-09-11
https://github.com/alsino/ckan_nigeria,JavaScript,38868,2023-09-11
https://github.com/alsino/ckan_nigeria,CSS,6306,2023-09-11
https://github.com/alsino/ckan_nigeria,Shell,3216,2023-09-11
https://github.com/alsino/corona-impact-analysis,HTML,26243,2023-09-11
https://github.com/alsino/corona-impact-analysis,JavaScript,13122,2023-09-11
https://github.com/alsino/corona-impact-analysis,CSS,4554,2023-09-11
https://github.com/alsino/creative-applications-ml,JavaScript,20198,2023-09-11
https://github.com/alsino/creative-applications-ml,HTML,4064,2023-09-11
https://github.com/alsino/creative-applications-ml-dai,JavaScript,20198,2023-09-11
https://github.com/alsino/creative-applications-ml-dai,HTML,4064,2023-09-11
https://github.com/alsino/europe-map,JavaScript,169553,2023-09-11
https://github.com/alsino/europe-map,Svelte,12763,2023-09-11
https://github.com/alsino/europe-map,HTML,3808,2023-09-11
https://github.com/alsino/europe-map,CSS,58,2023-09-11
https://github.com/alsino/inflation-rate-september,JavaScript,174131,2023-09-11
https://github.com/alsino/inflation-rate-september,Svelte,22736,2023-09-11
https://github.com/alsino/inflation-rate-september,HTML,3872,2023-09-11
https://github.com/alsino/inflation-rate-september,CSS,1514,2023-09-11
https://github.com/alsino/introtodataviz,HTML,3013,2023-09-11
https://github.com/alsino/introtodataviz,JavaScript,2820,2023-09-11
https://github.com/alsino/introtodataviz,CSS,616,2023-09-11
https://github.com/alsino/introtodataviz,Makefile,126,2023-09-11
https://github.com/alsino/map-test,JavaScript,174317,2023-09-11
https://github.com/alsino/map-test,Svelte,23430,2023-09-11
https://github.com/alsino/map-test,HTML,3872,2023-09-11
